,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score overall
support,5062,4986,0.962082006,10048,10048,sessions_labeled_emotion_sadness,KNN,0.962082006
precision,0.992366412,0.895806861,0.938974205,0.944086637,0.944207785,sessions_labeled_emotion_boredom,KNN,0.938974205
recall,0.999402985,0,0.998608073,0.499701493,0.998608073,sessions_labeled_emotion_sadness,SVM,0.998608073
f1-score,0.999303552,0,0.998608073,0.499651776,0.998508719,sessions_labeled_emotion_sadness,SVM,0.998608073
support,5025,4,0.998608073,5029,5029,sessions_labeled_emotion_sadness,SVM,0.998608073
precision,0.833302221,0.884932696,0.857171535,0.859117459,0.859052681,sessions_labeled_emotion_boredom,decision_tree,0.857171535
recall,0.992859976,1,0.996418979,0.996429988,0.996418979,sessions_labeled_emotion_shame,decision_tree,0.996418979
f1-score,0.996417197,0.99642076,0.996418979,0.996418979,0.996418973,sessions_labeled_emotion_shame,decision_tree,0.996418979
support,5042,5011,0.996418979,10053,10053,sessions_labeled_emotion_shame,decision_tree,0.996418979
precision,0.990371389,0.882938303,0.930326626,0.936654846,0.936899284,sessions_labeled_regret,KNN,0.930326626
recall,1,0.999759326,0.99988064,0.999879663,0.99988064,sessions_labeled_emotion_shame,random_forest,0.99988064
f1-score,0.999881615,0.999879649,0.99988064,0.999880632,0.99988064,sessions_labeled_emotion_shame,random_forest,0.99988064
support,4223,4155,0.99988064,8378,8378,sessions_labeled_emotion_shame,random_forest,0.99988064
precision,0.994534275,0.882696391,0.931594145,0.938615333,0.938709988,sessions_labeled_emotion_anxiety,decision_tree,0.931594145
recall,0.979373265,1,0.989654829,0.989686632,0.989654829,sessions_labeled_emotion_shame,KNN,0.989654829
f1-score,0.989579158,0.989729409,0.989654829,0.989654284,0.989654052,sessions_labeled_emotion_shame,KNN,0.989654829
support,5042,5011,0.989654829,10053,10053,sessions_labeled_emotion_shame,KNN,0.989654829
precision,0.837419842,0.882250706,0.858253407,0.859835274,0.859701754,sessions_labeled_time,decision_tree,0.858253407
