,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
f1-score,0.4615384615384615,0.5333333333333333,0.5,0.49743589743589745,0.5025641025641026,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,naive_bayes,0.5
support,6.0,8.0,0.5,14.0,14.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,naive_bayes,0.5
precision,0.6153846153846154,0.47058823529411764,0.5333333333333333,0.5429864253393666,0.5526395173453996,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,decision_tree,0.5333333333333333
recall,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.5429864253393666,0.5333333333333333,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,decision_tree,0.5333333333333333
f1-score,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,decision_tree,0.5333333333333333
support,17.0,13.0,0.5333333333333333,30.0,30.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,decision_tree,0.5333333333333333
precision,0.6,0.4666666666666667,0.52,0.5333333333333333,0.5413333333333334,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,random_forest,0.52
recall,0.42857142857142855,0.6363636363636364,0.52,0.5324675324675324,0.52,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,random_forest,0.52
f1-score,0.5,0.5384615384615385,0.52,0.5192307692307693,0.5169230769230769,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,random_forest,0.52
support,14.0,11.0,0.52,25.0,25.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,random_forest,0.52
precision,0.5,0.375,0.43333333333333335,0.4375,0.44583333333333336,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,naive_bayes,0.43333333333333335
recall,0.4117647058823529,0.46153846153846156,0.43333333333333335,0.43665158371040724,0.43333333333333335,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,naive_bayes,0.43333333333333335
f1-score,0.45161290322580644,0.41379310344827586,0.43333333333333335,0.43270300333704115,0.43522432332220984,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,naive_bayes,0.43333333333333335
support,17.0,13.0,0.43333333333333335,30.0,30.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_space_0.0,naive_bayes,0.43333333333333335
precision,0.5,0.45454545454545453,0.47368421052631576,0.4772727272727273,0.47846889952153104,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,decision_tree,0.47368421052631576
recall,0.4,0.5555555555555556,0.47368421052631576,0.4777777777777778,0.47368421052631576,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_track_of_time_6.0,decision_tree,0.47368421052631576
