,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
support,2.0,3.0,0.6,5.0,5.0,sessions_labeled_emotion_disgust,KNN,0.6
precision,0.5,1.0,0.6,0.75,0.8,sessions_labeled_emotion_disgust,naive_bayes,0.6
recall,1.0,0.3333333333333333,0.6,0.6666666666666666,0.6,sessions_labeled_emotion_disgust,naive_bayes,0.6
f1-score,0.6666666666666666,0.5,0.6,0.5833333333333333,0.5666666666666667,sessions_labeled_emotion_disgust,naive_bayes,0.6
support,2.0,3.0,0.6,5.0,5.0,sessions_labeled_emotion_disgust,naive_bayes,0.6
precision,0.4,0.0,0.4,0.2,0.16,sessions_labeled_emotion_disgust,SVM,0.4
recall,1.0,0.0,0.4,0.5,0.4,sessions_labeled_emotion_disgust,SVM,0.4
f1-score,0.5714285714285715,0.0,0.4,0.28571428571428575,0.2285714285714286,sessions_labeled_emotion_disgust,SVM,0.4
support,2.0,3.0,0.4,5.0,5.0,sessions_labeled_emotion_disgust,SVM,0.4
precision,0.7129186602870813,0.7014925373134329,0.7073170731707317,0.707205598800257,0.7073170731707317,sessions_labeled_emotion_happiness,decision_tree,0.7073170731707317
recall,0.7129186602870813,0.7014925373134329,0.7073170731707317,0.707205598800257,0.7073170731707317,sessions_labeled_emotion_happiness,decision_tree,0.7073170731707317
f1-score,0.7129186602870812,0.7014925373134329,0.7073170731707317,0.707205598800257,0.7073170731707317,sessions_labeled_emotion_happiness,decision_tree,0.7073170731707317
support,209.0,201.0,0.7073170731707317,410.0,410.0,sessions_labeled_emotion_happiness,decision_tree,0.7073170731707317
precision,0.6497175141242938,0.6219512195121951,0.6363636363636364,0.6358343668182445,0.6363636363636364,sessions_labeled_emotion_happiness,random_forest,0.6363636363636364
recall,0.6497175141242938,0.6219512195121951,0.6363636363636364,0.6358343668182445,0.6363636363636364,sessions_labeled_emotion_happiness,random_forest,0.6363636363636364
f1-score,0.6497175141242938,0.6219512195121951,0.6363636363636364,0.6358343668182445,0.6363636363636364,sessions_labeled_emotion_happiness,random_forest,0.6363636363636364
support,177.0,164.0,0.6363636363636364,341.0,341.0,sessions_labeled_emotion_happiness,random_forest,0.6363636363636364
precision,0.5514018691588785,0.5357142857142857,0.5439024390243903,0.543558077436582,0.5437111270311635,sessions_labeled_emotion_happiness,KNN,0.5439024390243903
recall,0.5645933014354066,0.5223880597014925,0.5439024390243903,0.5434906805684496,0.5439024390243902,sessions_labeled_emotion_happiness,KNN,0.5439024390243903
f1-score,0.5579196217494089,0.5289672544080605,0.5439024390243903,0.5434434380787347,0.5437259001991381,sessions_labeled_emotion_happiness,KNN,0.5439024390243903
support,209.0,201.0,0.5439024390243903,410.0,410.0,sessions_labeled_emotion_happiness,KNN,0.5439024390243903
precision,0.696969696969697,0.5261627906976745,0.5536585365853659,0.6115662438336857,0.6132326526753641,sessions_labeled_emotion_happiness,naive_bayes,0.5536585365853659
recall,0.22009569377990432,0.900497512437811,0.5536585365853659,0.5602966031088576,0.5536585365853659,sessions_labeled_emotion_happiness,naive_bayes,0.5536585365853659
f1-score,0.33454545454545453,0.6642201834862386,0.5536585365853659,0.4993828190158466,0.49616648019691206,sessions_labeled_emotion_happiness,naive_bayes,0.5536585365853659
support,209.0,201.0,0.5536585365853659,410.0,410.0,sessions_labeled_emotion_happiness,naive_bayes,0.5536585365853659
precision,0.5714285714285714,0.49476439790575916,0.5,0.5330964846671653,0.5338444278234853,sessions_labeled_emotion_happiness,SVM,0.5
recall,0.07655502392344497,0.9402985074626866,0.5,0.5084267656930658,0.5,sessions_labeled_emotion_happiness,SVM,0.5
f1-score,0.13502109704641352,0.6483704974271012,0.5,0.39169579723675735,0.3866875104037751,sessions_labeled_emotion_happiness,SVM,0.5
support,209.0,201.0,0.5,410.0,410.0,sessions_labeled_emotion_happiness,SVM,0.5
precision,0.8181818181818182,0.7317073170731707,0.7702702702702703,0.7749445676274944,0.7761131419668006,sessions_labeled_emotion_interest,decision_tree,0.7702702702702703
recall,0.7105263157894737,0.8333333333333334,0.7702702702702703,0.7719298245614035,0.7702702702702703,sessions_labeled_emotion_interest,decision_tree,0.7702702702702703
f1-score,0.7605633802816901,0.7792207792207793,0.7702702702702703,0.7698920797512347,0.7696399527385442,sessions_labeled_emotion_interest,decision_tree,0.7702702702702703
support,38.0,36.0,0.7702702702702703,74.0,74.0,sessions_labeled_emotion_interest,decision_tree,0.7702702702702703
precision,0.7241379310344828,0.6875,0.7049180327868853,0.7058189655172413,0.7061192764273602,sessions_labeled_emotion_interest,random_forest,0.7049180327868853
recall,0.6774193548387096,0.7333333333333333,0.7049180327868853,0.7053763440860215,0.7049180327868853,sessions_labeled_emotion_interest,random_forest,0.7049180327868853
f1-score,0.7,0.7096774193548386,0.7049180327868853,0.7048387096774194,0.7047593865679533,sessions_labeled_emotion_interest,random_forest,0.7049180327868853
support,31.0,30.0,0.7049180327868853,61.0,61.0,sessions_labeled_emotion_interest,random_forest,0.7049180327868853
precision,0.5111111111111111,0.4827586206896552,0.5,0.49693486590038316,0.4973180076628352,sessions_labeled_emotion_interest,KNN,0.5
recall,0.6052631578947368,0.3888888888888889,0.5,0.4970760233918129,0.5,sessions_labeled_emotion_interest,KNN,0.5
f1-score,0.5542168674698796,0.43076923076923074,0.5,0.49249304911955516,0.4941612604263207,sessions_labeled_emotion_interest,KNN,0.5
support,38.0,36.0,0.5,74.0,74.0,sessions_labeled_emotion_interest,KNN,0.5
precision,0.6481481481481481,0.85,0.7027027027027027,0.749074074074074,0.7463463463463463,sessions_labeled_emotion_interest,naive_bayes,0.7027027027027027
recall,0.9210526315789473,0.4722222222222222,0.7027027027027027,0.6966374269005848,0.7027027027027027,sessions_labeled_emotion_interest,naive_bayes,0.7027027027027027
f1-score,0.7608695652173912,0.6071428571428571,0.7027027027027027,0.6840062111801242,0.6860835991270773,sessions_labeled_emotion_interest,naive_bayes,0.7027027027027027
support,38.0,36.0,0.7027027027027027,74.0,74.0,sessions_labeled_emotion_interest,naive_bayes,0.7027027027027027
precision,0.627906976744186,0.6451612903225806,0.6351351351351351,0.6365341335333834,0.6363009671336752,sessions_labeled_emotion_interest,SVM,0.6351351351351351
recall,0.7105263157894737,0.5555555555555556,0.6351351351351351,0.6330409356725146,0.6351351351351351,sessions_labeled_emotion_interest,SVM,0.6351351351351351
f1-score,0.6666666666666666,0.5970149253731343,0.6351351351351351,0.6318407960199004,0.6327820357671103,sessions_labeled_emotion_interest,SVM,0.6351351351351351
support,38.0,36.0,0.6351351351351351,74.0,74.0,sessions_labeled_emotion_interest,SVM,0.6351351351351351
precision,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5,0.5555555555555556,sessions_labeled_emotion_sadness,decision_tree,0.5555555555555556
recall,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5,0.5555555555555556,sessions_labeled_emotion_sadness,decision_tree,0.5555555555555556
